hid,creation_date,operation_id,death_date,season,season_start_month,season_start_day,death_next_season,hive_age_next_season,aqhi_average,prcp_average,wspd_average,ndvi_average,tavg_average,o3_average,aqhi_skew,prcp_skew,wspd_skew,ndvi_skew,tavg_skew,o3_skew,aqhi_max,prcp_max,wspd_max,ndvi_max,tavg_max,o3_max,region,wspd_average_og,tavg_average_og,prcp_average_og,aqhi_average_og
188790,2023-07-04,159,2024-04-01,2023,4,1,False,272,0.7587912873463094,1.9204207239367548,2.2705623713539214,0.1723250355265835,2.944622637590119,33.88323093220339,0.2863079834498612,3.5804808252691336,0.2459433111495298,0.7346790051501724,-0.0775373922812506,-6.937485335165224,4.0,81.1,16.7,0.4737164239188366,24.6,68.53, QC,9.684745762711865,19.003389830508475,6.823728813559322,2.135593220338983
76518,2022-06-26,159,2024-03-05,2023,4,1,True,618,1.0108979299810263,1.490640276879416,2.3989385569173804,0.1760411584621341,2.8095066668404183,49.071700542005416,0.3618224141698337,5.585641949378558,0.3543081176780394,0.6230614993888763,-0.7855338139221782,-7.9019219710575,6.0,84.8,23.2,0.483895302531336,24.3,101.56541666666668, QC,11.01138211382114,16.601626016260163,4.439837398373984,2.747967479674797
160679,2023-05-19,159,2024-04-01,2023,4,1,False,318,0.9370658086903298,1.5751628920128695,2.3505681288019105,0.1817875309044949,2.8788294753749035,44.720682539682535,0.6692028816274012,5.3634424782327175,0.1930945686340217,0.6943349417271681,-0.6722562993953215,-7.850068235232302,6.0,84.8,17.9,0.4935563142015867,24.3,101.56541666666668, QC,10.491428571428573,17.793333333333333,4.831428571428572,2.552380952380952
69135,2022-06-05,159,2024-03-05,2023,4,1,True,639,1.0108979299810263,1.490640276879416,2.3989385569173804,0.1729441593879076,2.8095066668404183,49.071700542005416,0.3618224141698337,5.585641949378558,0.3543081176780394,0.2546964894208405,-0.7855338139221782,-7.9019219710575,6.0,84.8,23.2,0.4660631469929934,24.3,101.56541666666668, QC,11.01138211382114,16.601626016260163,4.439837398373984,2.747967479674797
156706,2023-05-12,159,2024-03-05,2023,4,1,True,298,0.9718984201509708,1.5813896401960352,2.4237047780615564,0.1725137290415299,2.854318467603113,45.692354910714286,0.6564848450194322,4.320019903432096,0.1459334295462373,0.6490984662625059,-0.9410172312385494,-7.739887342373915,6.0,71.0,18.2,0.4826105302975121,24.6,100.76166666666668, QC,11.2875,17.3625,4.861607142857143,2.642857142857143
156707,2023-05-12,159,2024-03-05,2023,4,1,True,298,0.9718984201509708,1.5813896401960352,2.4237047780615564,0.1715150533167693,2.854318467603113,45.692354910714286,0.6564848450194322,4.320019903432096,0.1459334295462373,0.6532509226817426,-0.9410172312385494,-7.739887342373915,6.0,71.0,18.2,0.5285255983420578,24.6,100.76166666666668, QC,11.2875,17.3625,4.861607142857143,2.642857142857143
162481,2023-05-23,159,2024-03-05,2023,4,1,True,287,0.9023729410498184,1.645817770108891,2.3820275596297984,0.1877650925945519,2.894384652549156,42.1217698019802,0.68164725471527,4.153768185563402,0.0959502598854221,0.5809825455621547,-0.7129484523801299,-7.97026117708236,5.0,71.0,18.2,0.4855076976147374,24.6,93.96625, QC,10.826732673267326,18.07227722772277,5.185148514851486,2.4653465346534653
157147,2023-05-15,159,2024-04-01,2023,4,1,False,322,0.849060333856697,1.770158973722894,2.070680838782025,0.1911274184607577,2.8840656376027307,39.61090913654618,0.8976517067293063,3.435300146889234,0.7979202427688791,0.4597880228005651,-0.9877864258302326,-7.3796371415022355,6.0,81.1,17.2,0.4795039758204678,24.7,102.46041666666667, QC,7.930120481927712,17.886746987951806,5.871686746987951,2.3373493975903616
150996,2023-05-05,159,2024-04-01,2023,4,1,False,332,0.9954650082717428,1.4691357989827274,2.385528747221401,0.1884057770072147,2.8284128633971912,48.01543417366947,0.4456169028604657,5.659044650831153,0.1167405757345539,0.4333506770115928,-0.8070571225794809,-7.940010630864025,6.0,84.8,17.9,0.4643694608138131,24.3,101.56541666666668, QC,10.864705882352942,16.91848739495798,4.345378151260505,2.7058823529411766
192466,2023-07-20,159,2024-03-26,2023,4,1,False,250,0.7831411151034525,1.5985756011472825,2.331353748771721,0.1909934827465119,2.8885455816469587,32.240436274509804,0.1974619266073299,1.7317008423208309,0.0779602128228366,0.542187065291363,-0.0481809002004665,-5.9155083127122765,4.0,29.4,16.7,0.4835217402255339,24.0,68.53, QC,10.291764705882352,17.967058823529413,4.945882352941176,2.188235294117648
76523,2022-06-26,159,2024-04-01,2023,4,1,False,645,1.0932110071069143,1.6652299098640393,2.4247756010968824,0.1781955204960826,2.837192647107384,47.18869664634146,0.4232579724036784,3.812467063129049,0.7708461396775578,0.5040797127456,-0.712246938733685,-7.887038741266914,7.0,84.8,30.7,0.4934596542864206,27.4,102.46041666666667, QC,11.29959349593496,17.067682926829267,5.286788617886178,2.983739837398374
72101,2022-06-14,159,2024-04-01,2023,4,1,False,657,1.1684188368593351,1.7162300369970498,2.4905449477952364,0.1687961570215145,2.870426638967053,48.1613696928636,0.3874833569547896,3.823736532729905,0.7965411892359846,0.6008306816258431,-0.7308617395646486,-8.032776449448221,7.0,84.8,30.7,0.4926083742912714,27.4,101.56541666666668, QC,12.067750677506774,17.644444444444446,5.5634146341463415,3.21680216802168
196601,2023-08-28,159,2024-03-26,2023,4,1,False,211,0.693197179309987,1.820525076714898,2.448856239243834,0.0819468027682057,2.8228718190495328,41.77020833333333,0.0,1.1433345304711473,-1.088510460933546,0.2956534208579502,-0.5416514819038762,-0.6088440119827541,3.0,23.3,13.5,0.165030488784099,19.5,51.57333333333333, QC,11.575,16.825,6.175,2.0
170825,2023-06-03,159,2024-03-28,2023,4,1,False,299,0.7680948794095763,1.8973016350531573,2.10346862119908,0.1719882947964041,2.9017322906223257,36.83748611111111,0.8148941023524399,3.421791371059373,0.9146358396885196,0.7887185094244574,-0.4265337784536432,-8.09339446217135,5.0,81.1,17.2,0.4795039758204678,24.3,80.01958333333333, QC,8.194444444444445,18.20555555555556,6.667777777777778,2.1555555555555554
170828,2023-06-03,159,2024-03-28,2023,4,1,False,299,0.825680158267462,1.844086580894173,2.005240189097921,0.1796514931767166,2.912235319798731,37.59476990740741,0.5923566274162066,3.179311351127227,1.14541838912853,0.6711700069769334,-0.4718381843201893,-8.073645093468995,5.0,81.1,20.3,0.5249530467736552,24.7,80.01958333333333, QC,7.427777777777778,18.397777777777776,6.322222222222222,2.283333333333333
